nelem_per_wavelength,dofs,L2
2,493,0.26359187788065774
4,985,0.1058855259891987
8,1969,0.034886207314773016
16,3933,0.010782791659955396
32,7861,0.0028985390394637768
64,15717,0.0009568563653802302
