nelem_per_wavelength,dofs,L2
8,493,1.377120383163276
16,984,1.2037915712695184
32,1966,0.35331583109337816
64,3930,0.08962492919699304
128,7859,0.022443222135435297
256,15717,0.0056125318606327764
