nelem_per_wavelength,dofs,L2
2,370,0.9888728424771924
4,739,0.012319709113018973
8,1477,0.00039652804409953153
16,2950,8.76236291485449e-05
32,5896,2.0422464930792154e-05
64,11788,2.6346584221768318e-06
