nelem_per_wavelength,dofs,L2
4,493,0.7921672877974505
8,985,0.2589926071834224
16,1967,0.09132862623286693
32,3931,0.032254598252138576
64,7859,0.010301584406462365
128,15717,0.0027817277038953503
