nelem_per_wavelength,dofs,L2
8,493,1.3760339947884324
16,984,1.1936860552063944
32,1966,0.4804969219414806
64,3930,0.20945671116321163
128,7859,0.08755946164769023
256,15717,0.034600804101443436
