nelem_per_wavelength,dofs,L2
2,370,1.0299577204406372
4,739,0.3789816760578896
8,1477,0.07510353557011112
16,2950,0.03554794862219471
32,5896,0.010748884781263186
64,11788,0.0020770178203333395
