nelem_per_wavelength,dofs,L2
2,493,0.06376027479342881
4,985,0.0009953093253287839
8,1969,7.821746776584979e-05
16,3933,1.700783367187328e-05
32,7861,4.811732022230672e-06
64,15717,2.400186944881145e-06
