nelem_per_wavelength,dofs,L2
4,493,0.7633211636602186
8,985,0.05586720232692604
16,1967,0.0036087790744811677
32,3931,0.0002305814742588327
64,7859,1.5255042825900089e-05
128,15717,1.1655043060789401e-06
